title,ranking,score,members,episodes,link
Fullmetal Alchemist: Brotherhood,1.0,9.26,824466,64.0,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
Gintama°,2.0,9.25,121675,51.0,https://myanimelist.net/anime/28977/Gintama°
Gintama.,3.0,9.17,32296,,https://myanimelist.net/anime/34096/Gintama
Steins;Gate,4.0,9.17,702136,24.0,https://myanimelist.net/anime/9253/Steins_Gate
Gintama',5.0,9.16,156924,51.0,https://myanimelist.net/anime/9969/Gintama
Hunter x Hunter (2011),6.0,9.13,448900,148.0,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
Gintama': Enchousen,7.0,9.1,84972,13.0,https://myanimelist.net/anime/15417/Gintama__Enchousen
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,8.0,9.09,118133,10.0,https://myanimelist.net/anime/32935/Haikyuu__Karasuno_Koukou_VS_Shiratorizawa_Gakuen_Koukou
Clannad: After Story,9.0,9.06,469902,24.0,https://myanimelist.net/anime/4181/Clannad__After_Story
Gintama,10.0,9.04,347710,201.0,https://myanimelist.net/anime/918/Gintama
Code Geass: Hangyaku no Lelouch R2,11.0,8.97,592200,25.0,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
Haikyuu!! Second Season,12.0,8.92,195698,25.0,https://myanimelist.net/anime/28891/Haikyuu_Second_Season
Shigatsu wa Kimi no Uso,13.0,8.92,443090,22.0,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso
Mushishi Zoku Shou 2nd Season,14.0,8.87,79469,10.0,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season
Hajime no Ippo,15.0,8.83,163140,75.0,https://myanimelist.net/anime/263/Hajime_no_Ippo
Code Geass: Hangyaku no Lelouch,16.0,8.82,738964,25.0,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch
Cowboy Bebop,17.0,8.82,503657,26.0,https://myanimelist.net/anime/1/Cowboy_Bebop
Mushishi Zoku Shou,18.0,8.8,105189,10.0,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou
One Punch Man,19.0,8.8,591828,12.0,https://myanimelist.net/anime/30276/One_Punch_Man
Monogatari Series: Second Season,20.0,8.79,214506,26.0,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season
Mushishi,21.0,8.77,308950,26.0,https://myanimelist.net/anime/457/Mushishi
Tengen Toppa Gurren Lagann,22.0,8.77,581186,27.0,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann
Great Teacher Onizuka,23.0,8.76,276181,43.0,https://myanimelist.net/anime/245/Great_Teacher_Onizuka
Hajime no Ippo: New Challenger,24.0,8.75,92037,26.0,https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger
Natsume Yuujinchou Shi,25.0,8.75,102013,13.0,https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi
Fate/Zero 2nd Season,26.0,8.72,354844,12.0,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season
Bakuman. 3rd Season,27.0,8.71,138072,25.0,https://myanimelist.net/anime/12365/Bakuman_3rd_Season
Death Note,28.0,8.71,1049456,37.0,https://myanimelist.net/anime/1535/Death_Note
Monster,29.0,8.71,255865,74.0,https://myanimelist.net/anime/19/Monster
Ansatsu Kyoushitsu (TV) 2nd Season,30.0,8.68,194044,25.0,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_TV_2nd_Season
Haikyuu!!,31.0,8.68,304307,25.0,https://myanimelist.net/anime/20583/Haikyuu
Hajime no Ippo: Rising,32.0,8.68,69674,25.0,https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising
JoJo no Kimyou na Bouken: Diamond wa Kudakenai,33.0,8.68,85555,39.0,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken__Diamond_wa_Kudakenai
Natsume Yuujinchou San,34.0,8.67,106122,13.0,https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San
Ping Pong The Animation,35.0,8.67,101548,11.0,https://myanimelist.net/anime/22135/Ping_Pong_The_Animation
Natsume Yuujinchou Go,36.0,8.66,46241,11.0,https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go
Yojouhan Shinwa Taikei,37.0,8.65,127349,11.0,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei
Aria The Origination,38.0,8.64,57400,13.0,https://myanimelist.net/anime/3297/Aria_The_Origination
Boku dake ga Inai Machi,39.0,8.64,433251,12.0,https://myanimelist.net/anime/31043/Boku_dake_ga_Inai_Machi
Zoku Natsume Yuujinchou,40.0,8.64,117709,13.0,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou
Rainbow: Nisha Rokubou no Shichinin,41.0,8.63,144260,26.0,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,42.0,8.61,481656,11.0,https://myanimelist.net/anime/9989/Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai
Kuroko no Basket 3rd Season,43.0,8.61,194053,25.0,https://myanimelist.net/anime/24415/Kuroko_no_Basket_3rd_Season
Shouwa Genroku Rakugo Shinjuu,44.0,8.61,83952,13.0,https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu
Re:Zero kara Hajimeru Isekai Seikatsu,45.0,8.6,394084,25.0,https://myanimelist.net/anime/31240/Re_Zero_kara_Hajimeru_Isekai_Seikatsu
Shokugeki no Souma,46.0,8.6,371381,24.0,https://myanimelist.net/anime/28171/Shokugeki_no_Souma
JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,47.0,8.59,101617,24.0,https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken__Stardust_Crusaders_2nd_Season
Uchuu Kyoudai,48.0,8.59,75024,99.0,https://myanimelist.net/anime/12431/Uchuu_Kyoudai
Kiseijuu: Sei no Kakuritsu,49.0,8.58,447336,24.0,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu
Major S5,50.0,8.58,29472,25.0,https://myanimelist.net/anime/5028/Major_S5
One Piece,51.0,8.58,521785,,https://myanimelist.net/anime/21/One_Piece
Ghost in the Shell: Stand Alone Complex 2nd GIG,52.0,8.57,117059,26.0,https://myanimelist.net/anime/801/Ghost_in_the_Shell__Stand_Alone_Complex_2nd_GIG
Kuroko no Basket 2nd Season,53.0,8.57,253208,25.0,https://myanimelist.net/anime/16894/Kuroko_no_Basket_2nd_Season
Saiki Kusuo no Ψ-nan (TV),54.0,8.57,57586,120.0,https://myanimelist.net/anime/33255/Saiki_Kusuo_no_Ψ-nan_TV
Kingdom 2nd Season,55.0,8.56,32464,39.0,https://myanimelist.net/anime/17389/Kingdom_2nd_Season
Slam Dunk,56.0,8.56,85122,101.0,https://myanimelist.net/anime/170/Slam_Dunk
Usagi Drop,57.0,8.56,201620,11.0,https://myanimelist.net/anime/10162/Usagi_Drop
Mob Psycho 100,58.0,8.55,225865,12.0,https://myanimelist.net/anime/32182/Mob_Psycho_100
Baccano!,59.0,8.54,373423,13.0,https://myanimelist.net/anime/2251/Baccano
Nana,60.0,8.54,203096,47.0,https://myanimelist.net/anime/877/Nana
Cross Game,61.0,8.53,54697,50.0,https://myanimelist.net/anime/5941/Cross_Game
Shingeki no Kyojin,62.0,8.53,933243,25.0,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
Bakuman. 2nd Season,63.0,8.52,156124,25.0,https://myanimelist.net/anime/10030/Bakuman_2nd_Season
Shinsekai yori,64.0,8.52,298159,25.0,https://myanimelist.net/anime/13125/Shinsekai_yori
Ashita no Joe 2,65.0,8.51,6630,47.0,https://myanimelist.net/anime/2921/Ashita_no_Joe_2
Chihayafuru 2,66.0,8.51,88514,25.0,https://myanimelist.net/anime/14397/Chihayafuru_2
Mahou Shoujo Madoka★Magica,67.0,8.51,478036,12.0,https://myanimelist.net/anime/9756/Mahou_Shoujo_Madoka★Magica
Nichijou,68.0,8.51,263178,26.0,https://myanimelist.net/anime/10165/Nichijou
Barakamon,69.0,8.5,235853,12.0,https://myanimelist.net/anime/22789/Barakamon
Fate/Zero,70.0,8.5,472236,13.0,https://myanimelist.net/anime/10087/Fate_Zero
JoJo no Kimyou na Bouken (TV),71.0,8.5,202834,26.0,https://myanimelist.net/anime/14719/JoJo_no_Kimyou_na_Bouken_TV
Magi: The Kingdom of Magic,72.0,8.5,256275,25.0,https://myanimelist.net/anime/18115/Magi__The_Kingdom_of_Magic
Major S6,73.0,8.5,25485,25.0,https://myanimelist.net/anime/7655/Major_S6
Psycho-Pass,74.0,8.5,530645,22.0,https://myanimelist.net/anime/13601/Psycho-Pass
Samurai Champloo,75.0,8.5,402689,26.0,https://myanimelist.net/anime/205/Samurai_Champloo
Diamond no Ace: Second Season,76.0,8.49,40561,51.0,https://myanimelist.net/anime/30230/Diamond_no_Ace__Second_Season
Shirobako,77.0,8.49,153464,24.0,https://myanimelist.net/anime/25835/Shirobako
Hunter x Hunter,78.0,8.48,170964,62.0,https://myanimelist.net/anime/136/Hunter_x_Hunter
Katanagatari,79.0,8.48,214007,12.0,https://myanimelist.net/anime/6594/Katanagatari
Mononoke,80.0,8.48,91658,12.0,https://myanimelist.net/anime/2246/Mononoke
Noragami Aragoto,81.0,8.48,321576,13.0,https://myanimelist.net/anime/30503/Noragami_Aragoto
Shokugeki no Souma: Ni no Sara,82.0,8.48,203992,13.0,https://myanimelist.net/anime/32282/Shokugeki_no_Souma__Ni_no_Sara
Yuri!!! on ICE,83.0,8.48,143466,12.0,https://myanimelist.net/anime/32995/Yuri_on_ICE
Ghost in the Shell: Stand Alone Complex,84.0,8.47,199591,26.0,https://myanimelist.net/anime/467/Ghost_in_the_Shell__Stand_Alone_Complex
Romeo no Aoi Sora,85.0,8.47,15577,33.0,https://myanimelist.net/anime/2559/Romeo_no_Aoi_Sora
Sakamichi no Apollon,86.0,8.47,150844,12.0,https://myanimelist.net/anime/12531/Sakamichi_no_Apollon
Yuu☆Yuu☆Hakusho,87.0,8.47,200694,112.0,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho
