title,episodes,score,num_votes,air_start,air_end,genres,producers,studios,status
Gintama': Enchousen,13.0,9.1,44356,2012-10-04,2013-03-28,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']","['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha', 'Miracle Bus']",['Sunrise'],Finished Airing
Gintama',51.0,9.16,67153,2011-04-04,2012-03-26,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']","['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Miracle Robo', 'Studio Jack', 'Shueisha']",['Sunrise'],Finished Airing
Hunter x Hunter (2011),148.0,9.13,251094,2011-10-02,2014-09-24,"['Action', 'Adventure', 'Super Power', 'Shounen']","['VAP', 'Nippon Television Network Corporation', 'Shueisha']",['Madhouse'],Finished Airing
Steins;Gate,24.0,9.17,403535,2011-04-06,2011-09-14,"['Sci-Fi', 'Thriller']","['Frontier Works', 'Media Factory', 'Movic', 'AT-X', 'Kadokawa Pictures Japan', 'Nitroplus']",['White Fox'],Finished Airing
Gintama.,,9.17,6983,2017-01-09,,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']","['Sunrise', 'TV Tokyo']",['Bandai Namco Pictures'],Currently Airing
Gintama°,51.0,9.25,42937,2015-04-08,2016-03-30,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']","['TV Tokyo', 'Aniplex', 'Dentsu']",['Bandai Namco Pictures'],Finished Airing
Fullmetal Alchemist: Brotherhood,64.0,9.26,511176,2009-04-05,2010-07-04,"['Action', 'Military', 'Adventure', 'Drama', 'Magic', 'Fantasy', 'Shounen']","['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Studio Moriken']",['Bones'],Finished Airing
Code Geass: Hangyaku no Lelouch,25.0,8.82,483962,2006-10-06,2007-07-29,"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Mecha', 'School']","['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Sony Music Entertainment', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners']",['Sunrise'],Finished Airing
Hajime no Ippo,75.0,8.83,87278,2000-10-04,2002-03-27,"['Comedy', 'Sports', 'Drama', 'Shounen']",['VAP'],['Madhouse'],Finished Airing
Mushishi Zoku Shou 2nd Season,10.0,8.87,33583,2014-10-19,2014-12-21,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']","['Aniplex', 'Kodansha', 'Delfi Sound']",['Artland'],Finished Airing
Shigatsu wa Kimi no Uso,22.0,8.92,254652,2014-10-10,2015-03-20,"['Drama', 'Music', 'Romance', 'School', 'Shounen']","['Aniplex', 'Dentsu', 'Kodansha', 'Fuji TV', 'Kyoraku Industrial Holdings']",['A-1 Pictures'],Finished Airing
Haikyuu!! Second Season,25.0,8.92,115893,2015-10-04,2016-03-27,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']",['TOHO animation'],['Production I.G'],Finished Airing
