title,score,stdev,num_votes,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10
Gintama': Enchousen,9.076630280226631,1.3583245128511068,45713,396,44,55,121,340,739,2619,6405,11860,23134
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,9.080237891964634,1.0642197697952096,69107,147,18,28,78,256,794,3380,11566,23703,29137
Kuroko no Basket,8.420069741466206,1.2780953407767341,220242,340,211,396,1034,3277,8412,30435,64263,64379,47495
Kamisama Hajimemashita◎,8.274161513959154,1.301664870764824,53370,44,46,79,248,960,2750,9401,16087,13126,10629
Hikaru no Go,8.069354104767259,1.4349320704119974,37359,78,55,120,354,1186,2699,7023,10723,8780,6341
Tsukimonogatari,8.208643115640283,1.2383348674890797,66041,81,52,101,335,1073,3089,11440,22344,17712,9814
Kimi to Boku. 2,8.096501105133658,1.2861349308261234,23979,24,27,41,125,513,1462,4769,7887,5681,3450
Ookiku Furikabutte,8.064455184534271,1.3280872155884567,22760,29,33,54,151,589,1448,4472,7318,5455,3211
Tiger & Bunny,8.019115203970712,1.3961304793015308,48757,132,94,167,542,1414,3180,9061,15462,12324,6381
Jormungand: Perfect Order,8.026049322227665,1.2948216020255976,48984,79,61,124,388,1091,3038,9709,16908,11747,5839
Higashi no Eden,8.00551535764468,1.3718002306467876,152302,201,229,486,1555,4468,11025,29814,46897,37715,19912
Hataraku Maou-sama!,8.021631803165306,1.252738397411591,271822,225,196,574,1661,5940,17238,56851,92420,66142,30575
Bleach,7.798040299791129,1.6652988716410135,423228,1662,1768,3432,8564,22494,40983,87779,102881,81920,71745
Uchouten Kazoku,7.883013248825932,1.4025502524545252,26191,66,67,126,337,817,1990,5364,8572,6131,2721
City Hunter 3,7.965099509662532,1.3634117355442896,3467,8,1,4,23,81,281,858,1058,590,563
Chuunibyou demo Koi ga Shitai!,7.92490882745596,1.391325636385451,245688,448,512,960,2631,7562,18488,52368,78113,54099,30507
Bishoujo Senshi Sailor Moon S,7.883053290912707,1.5363201235795025,40232,75,80,158,428,1799,4113,9330,9708,7327,7214
Aoi Bungaku Series,7.82799183771456,1.5331730658720082,33324,136,116,181,564,1325,2843,7020,9808,6904,4427
Nisekoi,7.863641026597531,1.4597908622964821,214456,579,590,1258,3050,7352,17038,45631,66643,46027,26288
Michiko to Hatchin,7.844845066852544,1.4266734720158138,31562,75,69,132,380,1167,2726,6866,9680,6893,3574
Baka to Test to Shoukanjuu,7.783750588413529,1.4728732962465516,184819,406,505,1074,2823,7425,16808,41790,55437,36854,21697
Toaru Majutsu no Index II,7.821466107348815,1.4058762390077204,109419,172,225,552,1500,3786,9119,24787,35079,22236,11963
Space Cobra,7.782402336619204,1.4847787763946763,2739,12,7,11,23,116,277,625,816,500,352
Tales of Zestiria the X 2nd Season,7.8537845517954015,1.431032424195911,3871,17,9,22,26,105,281,1006,1255,596,554
Owari no Seraph: Nagoya Kessen-hen,7.824033278152723,1.4594554762907033,117795,237,354,759,1685,3888,10008,27158,36103,22778,14825
AKB0048: Next Stage,7.806907002711756,1.5755935274035244,12538,44,47,80,192,581,1216,2673,3381,2463,1861
Minami-ke Tadaima,7.756294058408862,1.2645520174228984,15888,26,22,38,115,480,1282,4209,5677,2773,1266
Masamune-kun no Revenge,7.784381915902624,1.4757121524293162,15815,70,48,112,203,514,1238,3863,5100,2713,1954
Taiyou no Ko Esteban,7.75,1.4860566548823497,2684,8,6,10,23,119,290,697,706,453,372
Fune wo Amu,7.69633327595111,1.3129210682996462,11618,20,20,34,105,436,1050,3119,3873,2073,888
Mahou Shoujo Lyrical Nanoha StrikerS,7.699448334394229,1.5857462757130185,18852,59,87,132,396,937,1863,4309,5158,3463,2448
Black Jack (TV),7.616015753199869,1.5260282443566646,6094,24,14,49,98,280,696,1576,1690,977,690
Crayon Shin-chan,7.735076467686236,1.8242451461450213,14189,158,138,152,284,677,1299,3011,3334,2561,2575
Perrine Monogatari,7.667420814479638,1.7373400246862187,442,6,1,3,5,25,52,106,92,83,69
Hokuto no Ken 2,7.642589820359281,1.683807312398184,5344,52,18,45,91,254,614,1286,1358,825,801
"Yondemasu yo, Azazel-san. Z",7.641765285996056,1.3730959227317006,12168,17,24,65,136,450,1285,3443,3730,1900,1118
Minami-ke Okaeri,7.63400374181478,1.3167816465039759,25656,39,33,90,294,945,2550,7318,8370,4074,1943
Mugen no Ryvius,7.525432285750347,1.5922008497461182,7923,35,31,83,177,478,910,1836,2224,1414,735
Super GALS! Kotobuki Ran,7.438499506416584,1.6135588251382083,5065,27,29,39,104,350,609,1382,1260,750,515
Hakuouki,7.51620964473862,1.6584435964714108,44418,132,211,430,1125,2942,5640,10887,10448,6862,5741
Simoun,7.38427317542383,1.7823720650051014,8317,65,66,127,282,603,1017,1843,2040,1369,905
Chrome Shelled Regios,7.529070251027232,1.4583958536104622,60113,127,175,390,1016,3145,7049,16461,17141,9580,5029
Sugar Sugar Rune,7.458468851638729,1.649129673146459,7994,28,45,62,198,538,1126,2010,1824,1211,952
Chobits,7.498807094550857,1.5887383077170176,162209,549,750,1358,3711,10018,19857,41039,41858,26652,16417
Sentou Mecha Xabungle,7.544041450777202,1.3880982772474642,386,1,0,3,4,15,49,119,102,62,31
Kaze no Shoujo Emily,7.4385447394296955,1.6445162430819675,1017,7,8,7,20,57,136,281,257,123,121
Doraemon,7.471594147824435,1.7198588224618985,5263,26,38,41,108,376,763,1341,1111,657,802
Moonlight Mile 2nd Season: Touch Down,7.523897058823529,1.3316628662702563,1088,1,1,2,15,64,114,326,320,179,66
